statenum,casenum,vnumber,pnumber,arrhr,arrmin,arrtime,atmcond,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,acctime,caseyear,dayofweek,hosphr,hospmin,hosptime,fhevent,holiday,heavytruck,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,milepnt,nhs,nothr,notmin,nottime,numfatal,nmforms,vforms,rxing,reljuncinter,relrdwy,schlbus,spejur,trafid1,age,alcres,alctst,deathdate,dthday,dthhr,dthmin,dthmon,deathtime,dthyr,drugres1,drugres2,drugres3,drugtst1,drugtst2,drugtst3,hispanic,injury,methalc,methdrug,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex,lagtime
39,917,2,2,20,9,2009,1,1800,49,8112003,11,19,35,8,0,0,0,1935,2003,2,20,32,2032,12,0,0,39.83116389,39,49,5219,1,-82.9728,82,58,2208,5,15,0,20,5,2005,1,0,2,0,2,1,0,0,SR-317,45,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,937,1,1,13,11,1311,1,2270,49,11022003,2,13,0,11,0,0,0,1300,2003,1,99,99,9999,42,0,0,40.07680833,40,4,3651,1,-83.18058333,83,10,5010,0,0,0,13,3,1303,1,0,1,0,1,4,0,0,33,16,0,1,11022003,2,13,16,11,1316,2003,1,0,0,2,0,0,7,4,9,8,0,0,0,1,9,9,1,1,16
39,937,1,4,13,11,1311,1,2270,49,11022003,2,13,0,11,0,0,0,1300,2003,1,99,99,9999,42,0,0,40.07680833,40,4,3651,1,-83.18058333,83,10,5010,0,0,0,13,3,1303,1,0,1,0,1,4,0,0,33,15,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,1,99999
39,937,1,3,13,11,1311,1,2270,49,11022003,2,13,0,11,0,0,0,1300,2003,1,99,99,9999,42,0,0,40.07680833,40,4,3651,1,-83.18058333,83,10,5010,0,0,0,13,3,1303,1,0,1,0,1,4,0,0,33,14,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,937,1,2,13,11,1311,1,2270,49,11022003,2,13,0,11,0,0,0,1300,2003,1,99,99,9999,42,0,0,40.07680833,40,4,3651,1,-83.18058333,83,10,5010,0,0,0,13,3,1303,1,0,1,0,1,4,0,0,33,15,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,939,1,1,0,51,51,1,3210,49,11032003,3,0,48,11,0,0,0,48,2003,2,0,0,0,34,0,0,39.82992778,39,49,4774,2,-82.93004167,82,55,4815,0,38,0,0,48,48,1,0,1,0,1,5,0,0,SR-317,38,29,1,11032003,3,1,3,11,103,2003,1,0,0,2,0,0,7,4,9,8,0,0,0,1,0,0,1,1,15
39,948,1,1,99,99,9999,1,1800,49,10152003,15,15,12,10,0,0,0,1512,2003,4,99,99,9999,1,0,0,40.03590556,40,2,926,1,-82.99664167,82,59,4791,0,227,1,99,99,9999,1,0,1,0,15,1,0,0,I-71,22,0,9,10212003,21,22,25,10,2225,2003,0,0,0,0,0,0,7,4,9,8,0,0,0,1,9,9,2,1,15113
39,948,1,3,99,99,9999,1,1800,49,10152003,15,15,12,10,0,0,0,1512,2003,4,99,99,9999,1,0,0,40.03590556,40,2,926,1,-82.99664167,82,59,4791,0,227,1,99,99,9999,1,0,1,0,15,1,0,0,I-71,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,2,8,8,0,1,99999
39,948,1,2,99,99,9999,1,1800,49,10152003,15,15,12,10,0,0,0,1512,2003,4,99,99,9999,1,0,0,40.03590556,40,2,926,1,-82.99664167,82,59,4791,0,227,1,99,99,9999,1,0,1,0,15,1,0,0,I-71,22,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,2,8,8,0,2,99999
39,948,1,4,99,99,9999,1,1800,49,10152003,15,15,12,10,0,0,0,1512,2003,4,99,99,9999,1,0,0,40.03590556,40,2,926,1,-82.99664167,82,59,4791,0,227,1,99,99,9999,1,0,1,0,15,1,0,0,I-71,23,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,2,8,8,0,1,99999
39,980,2,1,18,0,1800,1,2780,49,11032003,3,17,49,11,0,0,0,1749,2003,2,18,21,1821,12,0,0,40.05763333,40,3,2748,3,-82.91065278,82,54,3835,1,0,0,17,58,1758,1,0,2,0,2,1,0,0,MORSE RD,76,0,1,11032003,3,20,6,11,2006,2003,151,208,996,1,1,1,7,4,9,8,0,0,0,1,0,0,1,2,217
39,980,1,1,18,0,1800,1,2780,49,11032003,3,17,49,11,0,0,0,1749,2003,2,18,21,1821,12,0,0,40.05763333,40,3,2748,3,-82.91065278,82,54,3835,1,0,0,17,58,1758,1,0,2,0,2,1,0,0,MORSE RD,24,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,0,0,0,1,0,0,0,1,99999
39,1024,1,2,99,99,9999,1,1800,49,11202003,20,3,5,11,0,0,0,305,2003,5,99,99,9999,42,0,0,40.05272778,40,3,982,3,-82.98798611,82,59,1675,0,0,0,99,99,9999,1,0,1,0,1,5,0,0,MAIZE RD,99,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,0,0,0,2,8,8,0,9,99999
39,1024,1,1,99,99,9999,1,1800,49,11202003,20,3,5,11,0,0,0,305,2003,5,99,99,9999,42,0,0,40.05272778,40,3,982,3,-82.98798611,82,59,1675,0,0,0,99,99,9999,1,0,1,0,1,5,0,0,MAIZE RD,23,25,1,11202003,20,3,22,11,322,2003,1,0,0,2,0,0,7,4,9,8,0,0,0,1,8,8,2,2,17
39,1032,1,1,99,99,9999,1,1800,49,12022003,2,11,54,12,0,0,0,1154,2003,3,99,99,9999,12,0,0,39.98281944,39,58,5815,1,-82.81408889,82,48,5072,8,102,1,99,99,9999,1,0,3,0,1,1,0,0,BROAD-ST,63,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,1,0,0,0,1,99999
39,1032,3,1,99,99,9999,1,1800,49,12022003,2,11,54,12,0,0,0,1154,2003,3,99,99,9999,12,0,0,39.98281944,39,58,5815,1,-82.81408889,82,48,5072,8,102,1,99,99,9999,1,0,3,0,1,1,0,0,BROAD-ST,33,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,1,0,0,0,2,99999
