statenum,casenum,vnumber,pnumber,atmcond,atmcond2,city,county,accdate,accday,acchr,accmin,accmon,arf1,arf2,arf3,caseyear,dayofweek,fhevent,holiday,latitude,latdeg,latmin,latsec,lightcond,longitude,londeg,lonmin,lonsec,manncol,numfatal,vforms,schlbus,speeding,age,alcres,alcsts,alctst,drugres1,drugres2,drugres3,drugsts,drugtst1,drugtst2,drugtst3,injury,prf1,prf2,prf3,ptype,druginv,alcinvol,race,sex
39,899,2,1,1,0,1800,49,11112016,11,21,24,11,0,0,0,2016,6,12,0,39.88206944,39,52,55.45,3,-82.99828333,82,59,53.82,1,1,3,0,1,27,996,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
39,899,3,1,1,0,1800,49,11112016,11,21,24,11,0,0,0,2016,6,12,0,39.88206944,39,52,55.45,3,-82.99828333,82,59,53.82,1,1,3,0,1,40,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,899,3,2,1,0,1800,49,11112016,11,21,24,11,0,0,0,2016,6,12,0,39.88206944,39,52,55.45,3,-82.99828333,82,59,53.82,1,1,3,0,1,44,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,1
39,901,0,1,1,0,0,49,11042016,4,14,20,11,23,0,0,2016,6,8,0,40.002375,40,0,8.55,1,-82.92181944,82,55,18.55,0,1,2,0,0,46,0,2,1,996,0,0,2,3,0,0,4,0,0,0,5,0,0,2,2
39,901,1,1,1,0,0,49,11042016,4,14,20,11,23,0,0,2016,6,8,0,40.002375,40,0,8.55,1,-82.92181944,82,55,18.55,0,1,2,0,0,38,0,2,1,407,402,0,2,1,1,0,1,0,0,0,1,1,0,0,2
39,901,1,2,1,0,0,49,11042016,4,14,20,11,23,0,0,2016,6,8,0,40.002375,40,0,8.55,1,-82.92181944,82,55,18.55,0,1,2,0,0,13,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,915,0,1,1,0,1800,49,11162016,16,21,55,11,0,0,0,2016,4,8,0,39.86790278,39,52,4.45,2,-83.00521667,83,0,18.78,0,1,1,0,0,35,0,2,1,407,402,155,2,2,2,2,4,0,0,0,5,0,0,1,1
39,915,1,1,1,0,1800,49,11162016,16,21,55,11,0,0,0,2016,4,8,0,39.86790278,39,52,4.45,2,-83.00521667,83,0,18.78,0,1,1,0,0,39,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
39,915,1,2,1,0,1800,49,11162016,16,21,55,11,0,0,0,2016,4,8,0,39.86790278,39,52,4.45,2,-83.00521667,83,0,18.78,0,1,1,0,0,34,996,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,0,2
39,972,1,1,1,0,1800,49,11062016,6,4,0,11,0,0,0,2016,1,21,0,39.91655833,39,54,59.61,3,-82.88056667,82,52,50.04,0,1,1,0,0,36,10,2,1,600,998,996,2,1,1,1,4,0,0,0,1,0,0,2,1
